City	lat	lng	Title	Notes	Color
Ayr	55.458564	-4.629179	"Slavery, Tues 24 March 1846"	"Relief Church, evening with James Buffum."	Red
Kilmarnock	55.614719	-4.498792	“Slavery, Wed 25 March 1846”	Evening	Red
Paisley	55.847258	-4.440114	“Slavery, Thurs 26 March 1846”	Evening	Red
Greenock	55.956476	-4.771983	“Slavery, Fri 27 March 1846”	Evening	Red
Paisley	55.847258	-4.440114	"Slavery, Mon 30 March 1846"	"Secession Church, Abbey Close, evening. James Buffum also attended."	Red
Bonhill	55.978918	-4.440114	“Slavery, 31 March 1846”	Secession Church, Abbey Close, evening	Red
Hawick	55.42706	-2.780914	“Slavery, c.1-14 April 1846”	Evening	Red
Galashiels	55.623728	-2.814449	“Slavery, c.1-14 April 1846”	Evening	Red
Coldstream	55.65132	-2.253399	“Slavery, c.1-14 April 1846”	Evening	Red
Kelso	55.600029	-2.432207	"Slavery, c.1-14 April 1846"	“Evening.”	Red
Kilmarnock	55.614719	-4.498792	“Slavery, Sat 4 April 1846”	Evening	Red
Paisley	55.847258	-4.440114	"Slavery, Mon 6 April 1846"	"Secession Church, Abbey Close, evening. With James Buffum."	Red
Greenock	55.956476	-4.771983	“Slavery, 10 April 1846”	West Blackhall Street Chapel, 8pm	Red
Glasgow	55.864237	-4.251806	“Slavery, Wed 15 April 1846”	Evening	Red
Glasgow	55.864237	-4.251806	“Slavery, Thurs 16 April 1846”	Evening	Red
Paisley	55.847258	-4.440114	“Slavery, Fri 17 April 1846”	Exchange Rooms, with James Buffum, evening	Red
Glasgow	55.864237	-4.251806	"Slavery & Free Church, Tues 21 April 1846"	"City Hall, evening. Public meeting of the Glasgow Emancipation Society. With James Buffum, George Thompson."	Red
Glasgow	55.864237	-4.251806	"Slavery, Thurs 23 April 1846"	"Assembly Rooms, 1pm. Ladies Meeting of the Glasgow Female Antislavery Society. With George Thompson, James Buffum, and Henry Clarke Wright."	Red
Glasgow	55.864237	-4.251806	“Slavery, Thurs 23 April 1846"	Evening	Red
Paisley	55.847258	-4.440114	"Slavery, Fri 25 April 1846”	Evening	Red
Paisley	55.847258	-4.440114	"Slavery, Sat 26 April 1846”	Evening	Red
Edinburgh	55.953252	-3.188267	“Slavery, 27 April 1846”	Evening	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, Tues 28 April 1846"	"Rev Mr Gilchrist's Church, Rose Street. Evening, with George Thompson, Henry Clarke Wright, James Buffum. Church was ""crowded to excess."" Send Back the Money!"	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, Fri 1 May 1846"	"Music Hall, evening. Send Back the Money!"	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, Sat 2 May 1846"	"Evening, with George Thompson, Henry Clarke Wright, and James Buffum."	Red
Glasgow	55.864237	-4.251806	"Slavery & Free Church, Tues 5 May 1846"	"City Hall, evening. Public meeting of the Glasgow Emancipation Society. Henry Clarke Wright, George Thompson and James Buffum also attended."	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, Thurs 7 May 1846"	"Rev. Mr Gilchrist's Church, Rose Street. Evening, admission by tickets to cope with demand. James Buffum also attended."	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, Fri 8 May 1846"	"Music Hall, evening. Crowded meeting, with George Thompson. Send Back the Money!"	Red
London	51.515137	-0.121901	“Slavery, 18 May 1846”	Freemasons’ Hall, midday	Red
London	51.518767	-0.088874	“Peace/Anti-War, 19 May 1846”	Finsbury Chapel, Moorfields, evening	Red
London	51.507351	-0.127758	“Suffrage, 20 May 1846”	Crown and Anchor Tavern, evening, the Strand	Red
London	51.507351	-0.127758	“Temperance, 21 May 1846”	Exeter Hall, evening	Red
London	51.518767	-0.088874	“Slavery, 22 May 1846”	Finsbury Chapel, Moorfields, evening	Red
Edinburgh	55.953252	-3.188267	"Slavery, 24 May 1846"	Evening	Red
Edinburgh	55.953252	-3.188267	"Slavery, 25 May 1846"	Music Hall, evening	Red
Edinburgh	55.953252	-3.188267	“Slavery, and Free Church, 26 May 1846”	Music Hall, evening	Red
Edinburgh	55.953252	-3.188267	“Slavery, and Free Church, 27 May 1846”	Music Hall, evening	Red
Fife	56.208208	-3.149518	"Slavery & Free Church, 29 May 1846"	"Possibly Fife. Music Hall, evening. With George Thompson."	Red
Kirkcaldy	56.116825	-3.158137	"Slavery & Free Church, 1 June 1846"	"Bethelfield Chapel, 7.30pm. 1,400 people present, with James Buffum."	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, 2 June 1846"	"Music Hall, evening. James Buffum, Henry Clarke Wright, and George Thompson also there."	Red
Edinburgh	55.953252	-3.188267	"Slavery, 3 June 1846"	"Music Hall, Edinburgh. George Thompson and Henry Clarke Wright also attended."	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, 4 June 1846"	"Music Hall, evening. George Thompson and Henry Clarke Wright also there. Crowded audience, 12 finish."	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, 5 June 1846"	"Music Hall, evening. James Buffum and George Thompson also there."	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, 9 June 1846"	“Music Hall, evening. George Thompson, James Buffum, and Henry Clarke Wright also there."	Red
Belfast	54.597285	-5.93012	"Slavery & Free Church, Tues 16 June 1846"	"Rev. Nelson's Church, Donegall Street. Evening, with James Buffum. Send Back the Money!"	Red
Birmingham	52.486243	-1.890401	"Slavery, 29 June 1846"	"Ebenezer Chapel, Birmingham. Meeting of Auxiliary of British and Foreign Antislavery Society, evening.”	Red
Manchester	53.480759	-2.242631	"Slavery, 2 July 1846"	"Town Hall, 11am. Final meeting of the National Anti-Corn Law League. Richard Cobden and John Bright there."	Red
Manchester	53.480759	-2.242631	“Slavery, 3 July 1846"	Evening	Red
Belfast	54.597285	-5.93012	"Slavery, 5 July 1846"	Evening	Red
Belfast	54.597285	-5.93012	"Slavery, Wed 8 July 1846"	"Primitive Methodist Chapel, 7pm."	Red
Belfast	54.597285	-5.93012	"Slavery, 10 July 1846"	"Methodist Chapel, Donegall Place, 7pm. Tickets issued to prevent overcrowding."	Red
Bangor	54.654197	-5.673065	“Slavery, 13 July 1846”	First Presbyterian Church, evening	Red
Belfast	54.597285	-5.93012	“Temperance, 22 July 1846”	Independent Church, Donegall-Street, 7:30pm	Red
Edinburgh	55.953252	-3.188267	“Slavery, 31 July 1846”	Evening	Red
Newcastle Upon Tyne	54.978252	-1.61778	“Slavery, 2 August 1846”	Evening	Red
Newcastle upon Tyne	54.978252	-1.61778	"Slavery, 3 August 1846"	"Salem Methodist Church, Hood Street. Meeting of the Newcastle Antislavery Society, evening.”	Red
North Shields	55.010762	-1.449138	"Slavery, 4 August 1846"	"Baptist Chapel, Howard Street. Evening."	Red
London	51.507351	-0.127758	“Temperance, 6 August 1846”	London Literary Institution, Aldersgate Street, evening	Red
London	51.507351	-0.127758	"Temperance, 7 August 1846"	Covent Garden Theatre, evening	Red
London	51.507351	-0.127758	"Slavery, Mon 10 August 1846"	Antislavery League formed. Crown and Anchor Tavern, evening.	Red
Newcastle upon Tyne	54.978252	-1.61778	"Slavery, 13 August 1846"	"Salem Chapel, Hood Street, evening. 1,200 there."	Red
Carlisle	54.892473	-2.932931	"Slavery, 14 August 1846"	"Athenaeum, Lowther Street, evening”	Red
London	51.507351	-0.127758	"Slavery, 17 August 1846"	"Crown and Anchor Tavern, Strand. 6.30pm chair. George Thompson, William Lloyd Garrison, Henry Clarke Wright and Henry Vincent there. Tickets had to be issued. Discussed Free Church."	Red
Carlisle	54.892473	-2.932931	"Slavery, 21 August 1846"	"Athenaeum, Lowther Street, evening”	Red
Bristol	51.454513	-2.58791	"Slavery, 24 August 1846"	“Evening.”	Red
Bristol	51.454513	-2.58791	"Slavery, 25 August 1846"	"Blind Asylum, daytime."	Red
Bristol	51.454513	-2.58791	"Slavery, 25 August 1846"	"Victoria Rooms, evening."	Red
Bristol	51.454513	-2.58791	"Slavery, 26 August 1846"	"Victoria Rooms, evening. With William Lloyd Garrison."	Red
Bristol	51.454513	-2.58791	"Slavery, 27? August 1846"	"Victoria Rooms, evening.”	Red
Exeter	50.718412	-3.533899	"Slavery, 28 August 1846"	"Subscription Rooms, evening. 11pm finish."	Red
Exeter	50.718412	-3.533899	"Slavery, Sat 29 August 1846"	"Subscription Rooms, evening. William Lloyd Garrison there."	Red
Taunton	51.015344	-3.106849	"Slavery, 30 August 1846"	Evening	Red
Bridgwater	51.127889	-3.003632	"Slavery, 31 August 1846"	"Public rooms, evening."	Red
Cullercoats	55.031646	-1.440003	“Slavery, August 1846”	Evening?	Red
Taunton	51.015344	-3.106849	"Slavery, 1 August 1846"	Public Hall, evening	Red
Bristol	51.454513	-2.58791	"Slavery, 2 Sept 1846"	"Public Rooms, Broadmead. Evening. Tickets to cope with demand. Crowed meeting. William Lloyd Garrison there. 11pm finish."	Red
Birmingham	52.486243	-1.890401	"Slavery, 4 Sept 1846"	“Livery Street Chapel, evening, with William Lloyd Garrison and George Thompson."	Red
Birmingham	52.486243	-1.890401	“Slavery, 5 September 1846”	Evening	Red
Birmingham	52.486243	-1.890401	"Slavery, 6 Sept 1846"	Evening	Red
Carlisle	54.892473	-2.932931	"Slavery, 7 Sept 1846"	"Athenaeum, Lowther Street. Evening."	Red
North Shields	55.010762	-1.449138	“Slavery & Evangelical Alliance, 8 September 1846”	Baptist Chapel, evening	Red
Sheffield	53.381129	-1.470085	“Slavery, 10 September 1846”	Evening	Red
Sheffield	53.381129	-1.470085	"Slavery, 11 Sept 1846"	"Friend's Meeting House. Evening. William Lloyd Garrison there, tickets 1s and Narrative on sale at the end of the meeting."	Red
London	51.507351	-0.127758	"Slavery & Evangelical Alliance, 14 Sept 1846"	"Exeter Hall, 6pm. George Thompson and William Lloyd Garrison"	Red
Sunderland	54.906869	-1.383801	"Slavery, 18 Sept 1846"	"Athenaeum Hall, evening.”	Red
Greenock	55.956476	-4.771983	"Slavery, 22 Sept 1846"	Evening	Red
Paisley	55.847258	-4.440114	"Slavery, 23 Sept 1846"	"Secession Church, George Street, evening“	Red
Edinburgh	55.953252	-3.188267	"Slavery & Free Church, 24 Sept 1846"	"Brighton Street Church, evening. With William Lloyd Garrison there."	Red
Edinburgh	55.953252	-3.188267	"Slavery, 25 Sept 1846"	“Morning.”	Red
Edinburgh	55.953252	-3.188267	"Slavery, 25 Sept 1846"	“Evening."	Red
Dundee	56.462018	-2.970721	"Slavery & Free Church, 28 Sept 1846"	"Bell Street Hall, evening. Attacks Free Church and Evangelical Alliance. Finished at 11.15pm."	Red
Edinburgh	55.953252	-3.188267	"Slavery, 29 Sept 1846"	Evening	Red
Glasgow	55.864237	-4.251806	"Slavery, 30 Sept 1846"	“City Hall, evening”	Red
Glasgow	55.864237	-4.251806	"Slavery, 1 Sept 1846"	“Morning/afternoon.”	Red
Glasgow	55.864237	-4.251806	"Slavery, 1 Sept 1846"	“Evening.”	Red
Glasgow	55.864237	-4.251806	"Slavery, 2 Sept 1846"	“Eagle Temperance Hall, morning/afternoon.”	Red
Kilmarnock	55.614719	-4.498792	“Slavery, 2 Sept 1846"	Evening	Red
