City	lat	lng	person	category	date	Street	Description	Color
Dumfries	55.070859	-3.60512	Moses Roper	Roper	 Mon 6 July 1846		"Secession Church, evening."	yellow
Dundee	56.462018	-2.970721	Josiah Henson	Henson	 Wed 7 March 1877		"Kinnaird Hall, evening lecture."	blue
Dundee	56.462018	-2.970721	Josiah Henson	Henson	 Thurs 8 March 1877		Young Men's Christian Association Hall. 3pm.	blue
Dundee	56.462018	-2.970721	Josiah Henson	Henson	 Fri 9 March 1877		"Free St Andrew's Church, lecture on Uncle Tom."	blue
Dundee	56.462018	-2.970721	Josiah Henson	Henson	 Sun 11 March 1877		"Rev. A.H. Reid's M. Cheyne Memorial Church, afternoon meeting."	blue
Dundee	56.462018	-2.970721	Josiah Henson	Henson	 Sun 11 March 1877		"Rev. Mr Conway's Bell Street Church, 6.30pm."	blue
Dundee	56.462018	-2.970721	William & Ellen Craft	Craft	 Wed 22 Jan 1851		"Bell Street Hall, evening lecture on slavery and Fugitive Slave Law."	light blue
Dundee	56.462018	-2.970721	William Wells Brown	WellsBrown	 Wed 22 Jan 1851		"Bell Street Hall, evening lecture on slavery and Fugitive Slave Law."	cloud
East Staffordshire District	52.838652	-1.828576	Alexander Crummell	Crummell	 Sun 20 May 1849			red dust
Edinburgh	55.953252	-3.188267	J. Pennington		 Mon 20 Jan 1851		"Evening lecture on slavery, Music Hall. African Slave Trade Public Meeting."	sky
Edinburgh	55.953252	-3.188267	Josiah Henson	Henson	 Tues 6 March 1877		"United Presbyterian Church, London Road, evening lecture about Uncle Tom and Queen's visit."	blue
Edinburgh	55.953252	-3.188267	Moses Roper	Roper	 Early July 1846		Possibly Edinburgh. Rev. Mr Pringle's Church. Evening.	yellow
Edinburgh	55.953252	-3.188267	Rev Sella Martin	Martin	 Mon 2 July 1866		"Free Church Assembly, evening lecture on 'Freedmen of America.'"	green
Edinburgh	55.953252	-3.188267	Sarah Remond		 Fri 5 Oct 1860		"Brighton Street Chapel, evening lecture on slavery. Meeting of Ladies Emancipation Society. Crowded meeting. William Lloyd Garrison there."	red
Edinburgh	55.953252	-3.188267	Sarah Remond		 Fri 28 Dec 1860		"Brighton Street Chapel, Lothian Street. Evening lecture on slavery, 8pm."	red
Edinburgh	55.953252	-3.188267	William Craft	Craft	 Thurs 2 Jan 1851		"Brighton St Chapel, evening lecture on slavery."	light blue
Edinburgh	55.953252	-3.188267	William Craft	Craft	 Fri 3 Jan 1851		"Brighton St Chapel, evening lecture on slavery."	light blue
Edinburgh	55.953252	-3.188267	William Craft	Craft	 Mon 6 Jan 1851		"Brighton St Chapel, evening lecture on slavery."	light blue
Edinburgh	55.953252	-3.188267	William Wells Brown	WellsBrown	 Thurs 2 Jan 1851		"Brighton St Chapel, evening lecture on slavery."	cloud
Edinburgh	55.953252	-3.188267	William Wells Brown	WellsBrown	 Fri 3 Jan 1851		"Brighton St Chapel, evening lecture on slavery."	cloud
Edinburgh	55.953252	-3.188267	William Wells Brown	WellsBrown	 Mon 6 January 1851		"Brighton St Chapel, evening lecture on slavery."	cloud
Essex	51.734331	0.469089	Rev. R.M. Johnson		 Mon 23 Jan 1865		"Not sure exactly where. Public Hall, evening lecture on slavery."	brown
Exeter	50.718412	-3.533899	Henry 'Box' Brown	BoxBrown	 Mid June 1855			red
Fife	56.208208	-3.149518	Moses Roper	Roper	 Tues 20 Oct 1846		"Possibly Fife. Relief Church, evening lecture on slavery."	yellow
Glasgow	55.864237	-4.251806	Ida B. Wells	Wells	 Tues 2 May 1893		"Evening lecture, Friend's Meeting House, 13 North Portland Street, 8pm."	teal
Glasgow	55.864237	-4.251806	Ida B. Wells	Wells	 Wed 10 May 1893		"Free Church, Dennistown, 8pm."	teal
Glasgow	55.864237	-4.251806	Ida B. Wells	Wells	 Thurs 11 May 1893		"Renfield Free Church Hall, Bath St, evening lecture on lynch law, 8pm."	teal
Glasgow	55.864237	-4.251806	Ida B. Wells	Wells	 Tues 22 May 1893		"Friend's Meeting House, 13 North Portland Street, 3pm lecture on lynch law."	teal
Glasgow	55.864237	-4.251806	Josiah Henson	Henson	 Fri 20 April 1877		"City Hall, evening lecture. Presented with Σ750 and a gold watch."	blue
Glasgow	55.864237	-4.251806	Rev Sella Martin	Martin	 Fri 11 Dec 1863		"City Hall, evening lecture on Civil War."	green
Glasgow	55.864237	-4.251806	Rev Sella Martin	Martin	 Mon 14? Dec 1863		"Queen's Rooms, evening 7pm. Lecture on 'social and religious condition of slaves.'"	green
Glasgow	55.864237	-4.251806	Sarah Remond		 Tues 8 Jan 1861	Glassford Street	"Trades Hall, lecture on slavery and the 'disunion' crisis. 8pm."	red
Glasgow	55.864237	-4.251806	William & Ellen Craft	Craft			"Trades Hall, 7.30pm. Lecture on slavery."	light blue
Glasgow	55.864237	-4.251806	William & Ellen Craft	Craft	 Thurs 9 Jan 1851		"Trades Hall, evening 7.30pm."	light blue
Glasgow	55.864237	-4.251806	William Craft	Craft	 Tues 21 Jan 1851	Hutcheson Street	"Merchant's Hall, evening 7.30pm, lecture on slavery."	light blue
Glasgow	55.864237	-4.251806	William Wells Brown	WellsBrown	 Wed 8 Jan 1851		"Trades Hall, evening 7.30pm."	cloud
Glasgow	55.864237	-4.251806	William Wells Brown	WellsBrown	 Thurs 9 Jan 1851		"Trades Hall, evening 7.30pm lecture on slavery."	cloud
Glasgow	55.864237	-4.251806	William Wells Brown	WellsBrown	 Tues 21 Jan 1851	Hutcheson Street	7.30pm lecture on slavery. Meeting of Glasgow Female Antislavery Society.	cloud
Gloucester	51.864245	-2.238156	J. Pennington		 Mon 28 Oct 1850		Evening lecture on slavery.	sky
Gomersal	53.729406	-1.682883	Moses Roper	Roper	 Mon 13 March 1843		"School Room, Independent Society. Exhibited whips and chains."	yellow
Grimsby	53.567471	-0.080784	Rev. James Charles Salfey		 Sept 1882		"Town Hall, missionary meeting in the evening."	mold
Huddersfield	53.645792	-1.785035	Henry 'Box' Brown	BoxBrown	 Sat 29 June 1851		"Large room behind the Centenary Chapel, Dewsbury. Huddersfield. Evening."	red
Huddersfield	53.645792	-1.785035	Henry 'Box' Brown	BoxBrown	 Thurs 3 Nov 1853		"Musical entertainment, Philosophical Hall, evening."	red
Huddersfield	53.645792	-1.785035	Henry 'Box' Brown	BoxBrown	 Fri 4 Nov 1853		"Philosophical Hall, musical entertainment. Evening."	red
Huddersfield	53.645792	-1.785035	Rev. Sella Martin	Martin	 Fri 23 Nov 1866		"Possibly Huddersfield. Gymnasium Hall, evening."	green
Hull	53.745671	-0.336741	Alexander Crummell	Crummell	 April 1853			red dust
Hull	53.745671	-0.336741	Alexander Crummell	Crummell	 Sun 15? May 1853		"High Church, afternoon meeting."	red dust
Hull	53.745671	-0.336741	Henry 'Box' Brown	BoxBrown	 Mon 6 Dec 1852		"Music Hall, evening."	red
Hull	53.745671	-0.336741	Rev Sella Martin	Martin	 Wed 23? Dec 1863		"Music Hal, evening lecture on slavery and the Civil War."	green
Hull	53.745671	-0.336741	Rev. Sella Martin	Martin	 Thurs 24 Dec 1863		"Music Hall, evening lecture on slavery and the Civil War."	green
Hull	53.745671	-0.336741	William Craft	Craft	 Thurs 21 March 1861		Possibly Hull. Lecture Hall of Royal Institute. Evening lecture on slavery.	light blue
Ipswich	52.056736	1.14822	Rev. Sella Martin	Martin	 Sun 12 Jan 1862		"Congregational Chapel, lecture on slavery."	green
Ipswich	52.056736	1.14822	Rev. Sella Martin	Martin	 Mon 13 Jan 1862			green
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Mon 12 May 1856		"Evening, 8-10pm"	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Tues 13 May 1856		"Evening, 8-10pm"	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Wed 14 May 1856		"Evening, 8-10pm"	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Thurs 15 May 1856		"3pm, special kids performance."	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Thurs 15 May 1856		"Evening, 8-10pm"	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Fri 16 May 1856		Evening 8-10pm	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 Sat 17 May 1856		"Evening, 8-10pm"	red
Isle of Wight	50.692718	-1.31671	Henry 'Box' Brown	BoxBrown	 early June 1856		"Evening, Literary and Scientific Institution."	red
Kirkcaldy	56.116825	-3.158137	J. Pennington		 Mon 18 March 1850		Evening lecture on temperance.	sky
Leeds	53.800755	-1.549077	Alexander Crummell	Crummell	 Mon 9 May 1853		6.30pm meeting	red dust
Leeds	53.800755	-1.549077	Henry 'Box' Brown	BoxBrown	 Mid August 1851		"Odd Fellow's Hall, evening."	red
Leeds	53.800755	-1.549077	Ida B. Wells	Wells	 Thurs 5 July 1894		"Belgrave Lecture Hall, evening lecture at 8pm on 'The Negro: A Man and a Brother.'"	sunflower
Leeds	53.800755	-1.549077	J. Pennington		 Mon 31 July 1843		"Queen Street Chapel, evening lecture on slavery."	sky
Leeds	53.800755	-1.549077	James Watkins		 Tues 3 July 1860		"Lecture Hall, evening lecture on slavery."	teal
Leeds	53.800755	-1.549077	James Watkins		 First week July 1860		"Lecture Hall, evening lecture on slavery."	teal
Leeds	53.800755	-1.549077	Moses Roper	Roper	 Early March 1838			yellow
Leeds	53.800755	-1.549077	Moses Roper	Roper	 Mon 10 Feb 1840		"Music Hall, evening."	yellow
Leeds	53.800755	-1.549077	Moses Roper	Roper	 Tues 18 Feb 1840		"Albion Street Chapel, 7pm."	yellow
Leeds	53.800755	-1.549077	Moses Roper	Roper	 Mon 24 Feb 1840		Harrison Road Chapel. Evening.	yellow
Leeds	53.800755	-1.549077	Prof William Allen		 First week Dec 1853		Evening lecture on the 'Social and Political Condition of the Free Coloured People of North.'	spring
Leeds	53.800755	-1.549077	Prof William Allen		 First week of Dec 1853		Evening lecture on the 'Social and Political Condition of the Free Coloured People of North.'	spring
Leeds	53.800755	-1.549077	Prof William Allen		 Mon 5 Dec 1853		Evening lecture on the 'Destiny of Coloured Race.'	spring
Leeds	53.800755	-1.549077	Rev Sella Martin	Martin	 Thurs 22 Nov 1866		"Victoria Hotel, breakfast meeting of National Freedmen's Aid Union."	green
Leeds	53.800755	-1.549077	Rev Sella Martin	Martin	 Thurs 22 Nov 1866		"Victoria Hotel, evening meeting of National Freedmen's Aid Union."	green
Leeds	53.800755	-1.549077	Sarah Remond		 Thurs 22 Dec 1859		"Music Hall, evening lecture on slavery and John Brown. Annual meeting of Leeds Young Men's Anti-Slavery Society. With Frederick Douglass."	red
Leeds	53.800755	-1.549077	Sarah Remond		 Mon 26 Dec 1859		"Temperance, Victoria Hall. 1,000 people there."	red
Leeds	53.800755	-1.549077	Wiliam & Ellen Craft	Craft	 3rd week April 1851		"Woodhouse Mechanics Institute, evening."	light blue
Leeds	53.800755	-1.549077	William & Ellen Craft	Craft	 Fri 24 Oct 1856		Evening lecture on slavery.	light blue
Leeds	53.800755	-1.549077	William Henry Jackson		 Tues 24 March 1863		"Princess Theatre, evening lecture on slavery and President of the Confederacy, Jeff Davis."	maize
Leicester	52.636878	-1.139759	Moses Roper	Roper	 Wed 16 May 1838		"Harvey-Lane Chapel, evening. Exhibited whips and chains. Ended at 10pm."	yellow
Leicester	52.636878	-1.139759	Moses Roper	Roper	 Thurs 24 May 1838		"New Hall, evening lecture."	yellow
Leicester	52.636878	-1.139759	Moses Roper	Roper	 Mid August 1842			yellow
Leicester	52.636878	-1.139759	Rev. Sella Martin	Martin	 Tues 12 Feb 1867		"Evening lecture on 'Freedmen of America', town hall."	green
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Tues 12 Nov 1850	Lord Nelson Street	"Concert Hall, Liverpool. Exhibiting panorama, tickets issued."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Wed 13 Nov 1850	Lord Nelson Street	Exhibiting panorama.	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Fri 15 Nov 1850	Lord Nelson Street	Exhibiting panorama.	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Sat 16 Nov 1850	Lord Nelson Street	Exhibiting panorama.	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Fri 22 Nov 1850	Lord Nelson Street	"Exhibiting panorama, 2pm and 8pm."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Mon 25 Nov 1850	Lord Nelson Street	"Exhibiting panorama, 2pm and 8pm"	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Tues 26 Nov 1850	Lord Nelson Street	"Exhibiting panorama, 2pm and 8pm."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Wed 27 Nov 1850	Lord Nelson Street	"Exhibiting panorama, 2pm and 8pm."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Thurs 28 Nov 1850	Lord Nelson Street	"Exhibiting panorama, 2pm and 8pm."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Fri 29 Nov 1850	Lord Nelson Street	"Exhibiting panorama, 2pm and 8pm."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Sept 1857		"Royal Park Theatre, evening."	red
Liverpool	53.408371	-2.991573	Henry 'Box' Brown	BoxBrown	 Late Sept & Oct 1857		"Royal Park Theatre, evening performance of a play."	red
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 3rd week of March 1894		"Hope Hall, evening lecture on lynch law."	teal
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 Sun 18 March 1894		"Great George Street Chapel, lecture on lynch law."	teal
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 Sun 18 March 1894		"Great George Street Chapel, evening lecture on lynch law."	teal
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 Tues 20 March 1894		"Great George Street Chapel, Temperance meeting. Evening."	teal
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 Thurs 22 March 1894		"Hope Hall, evening lecture at 8pm on lynch law."	teal
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 Thurs 14 June 1894		Lecture on lynch law.	teal
Liverpool	53.408371	-2.991573	Ida B. Wells	Wells	 Sun 9 July 1894		"Pembroke Chapel, farewell address in the evening."	teal
Liverpool	53.408371	-2.991573	Samuel Ward		 Tues 17 Jan 1854		"Concert Hall, evening lecture on racial science."	burgundy
Liverpool	53.408371	-2.991573	Samuel Ward		 Tues 24 Jan 1854		"Concert Hall, evening lecture."	burgundy
London	51.507351	-0.127758	Alexander Crummell	Crummell	 Tues 18 April 1848		"Hall of Commerce, evening. Public meeting of Church Missionary Society."	red dust
London	51.507351	-0.127758	Alexander Crummell	Crummell	 Wed 19 April 1848		"Afternoon lecture, National School House."	red dust
London	51.507351	-0.127758	Alexander Crummell	Crummell	 Mon 21 May 1849		"Hall of Commerce, evening meeting of the British and Foreign Antislavery Meeting."	red dust
London	51.507351	-0.127758	Alexander Crummell	Crummell	 Mon 19 May 1851	Great Queen Street	"Freemason's Tavern. British and Foreign Antislavery Society meeting, evening."	red dust
London	51.507351	-0.127758	Alexander Crummell	Crummell	 Mon 16 May 1853		"British and Foreign Antislavery Meeting, 6.30pm."	red dust
London	51.507351	-0.127758	Henry 'Box' Brown	BoxBrown	 Summer 1857		London Theatres - performing in a play in London	red
London	51.507351	-0.127758	Henry Highland Garnet		 Mon 19 May 1851		"Freemason's Tavern, evening lecture on slavery. British and Foreign Antislavery Society. Josiah Henson, J. Pennington and Rev. Crummell there."	orange
London	51.507351	-0.127758	Henry Highland Garnet		 Mon 21 July 1851		"Evening lecture on slavery and progress of abolition, Exeter Hall."	orange
London	51.507351	-0.127758	Ida B. Wells	Wells	 Wed 9 May 1894		"Holborn Town Hall, evening lecture on temperance/lynch law at a meeting of the National British Women's Temperance Association."	sunflower
